run,seed,regime,step,readout_input,population,feature_mean_norm,dc_spectral_power,total_spectral_power,dc_power_fraction,checkpoint,source_csv,source_row,training_backend,measurement_backend
seed3_muon,3,muon,0,layer_1_post_block_residual,"full operand grid, uniform113x113",15.94433892546405,3246160.0,3313667.0,0.9796277054996776,checkpoints/seedstudy_muon_seed_3/step_000000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,493,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed3_muon,3,muon,5000,layer_1_post_block_residual,"full operand grid, uniform113x113",572.7795212669276,4189207296.0,4903302656.0,0.8543644131111943,checkpoints/seedstudy_muon_seed_3/step_005000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,499,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed3_muon,3,muon,6000,layer_1_post_block_residual,"full operand grid, uniform113x113",377.2205077371006,1816968832.0,2425879040.0,0.7489939943584326,checkpoints/seedstudy_muon_seed_3/step_006000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,505,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed3_muon,3,muon,17000,layer_1_post_block_residual,"full operand grid, uniform113x113",1466.5901331078326,27464671232.0,61396017152.0,0.4473363665269177,checkpoints/seedstudy_muon_seed_3/step_017000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,511,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed3_muon,3,muon,25000,layer_1_post_block_residual,"full operand grid, uniform113x113",1053.1959344049715,14163651584.0,20147918848.0,0.7029833547997424,checkpoints/seedstudy_muon_seed_3/step_025000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,517,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed3_muon,3,muon,50000,layer_1_post_block_residual,"full operand grid, uniform113x113",1943.1317663299074,48212692992.0,60217266176.0,0.8006456628417232,checkpoints/seedstudy_muon_seed_3/step_050000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,523,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed3_muon,3,muon,61000,layer_1_post_block_residual,"full operand grid, uniform113x113",7162.647185200681,655094579200.0,741103370240.0,0.8839449468268552,checkpoints/seedstudy_muon_seed_3/step_061000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,529,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed3_muon,3,muon,75000,layer_1_post_block_residual,"full operand grid, uniform113x113",1238.5591734201162,19588014080.0,30049175552.0,0.651865274842666,checkpoints/seedstudy_muon_seed_3/step_075000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,535,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed3_muon,3,muon,100000,layer_1_post_block_residual,"full operand grid, uniform113x113",461.5483555228685,2720140288.0,13617219584.0,0.19975739329313,checkpoints/seedstudy_muon_seed_3/step_100000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,541,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed3_adamw_stable,3,adamw,0,layer_1_post_block_residual,"full operand grid, uniform113x113",15.94433892546405,3246160.0,3313667.0,0.9796277054996776,checkpoints/seedstudy_adamw_stable_seed_3/step_000000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,601,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed3_adamw_stable,3,adamw,11000,layer_1_post_block_residual,"full operand grid, uniform113x113",30.463460046343133,11849918.0,61044696.0,0.19411871589957627,checkpoints/seedstudy_adamw_stable_seed_3/step_011000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,607,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed3_adamw_stable,3,adamw,12000,layer_1_post_block_residual,"full operand grid, uniform113x113",25.26502719542426,8150728.5,37767928.0,0.21581084617615243,checkpoints/seedstudy_adamw_stable_seed_3/step_012000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,613,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed3_adamw_stable,3,adamw,25000,layer_1_post_block_residual,"full operand grid, uniform113x113",22.482581731686235,6454301.5,39432548.0,0.163679544623898,checkpoints/seedstudy_adamw_stable_seed_3/step_025000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,619,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed3_adamw_stable,3,adamw,50000,layer_1_post_block_residual,"full operand grid, uniform113x113",90.30167242764497,104123432.0,177241744.0,0.5874656254792889,checkpoints/seedstudy_adamw_stable_seed_3/step_050000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,625,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed3_adamw_stable,3,adamw,75000,layer_1_post_block_residual,"full operand grid, uniform113x113",46.87764402442051,28060049.999999996,98687784.0,0.2843315440135934,checkpoints/seedstudy_adamw_stable_seed_3/step_075000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,631,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed3_adamw_stable,3,adamw,99000,layer_1_post_block_residual,"full operand grid, uniform113x113",134.2634008923185,230182432.0,323342720.0,0.7118837622198514,checkpoints/seedstudy_adamw_stable_seed_3/step_099000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,637,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed3_adamw_stable,3,adamw,100000,layer_1_post_block_residual,"full operand grid, uniform113x113",175.9508257576951,395311552.0,1004987712.0,0.3933496372938737,checkpoints/seedstudy_adamw_stable_seed_3/step_100000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,643,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed4_muon,4,muon,0,layer_1_post_block_residual,"full operand grid, uniform113x113",16.760691653776604,3587077.5,3666324.25,0.9783852314753666,checkpoints/seedstudy_muon_seed_4/step_000000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,649,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed4_muon,4,muon,5000,layer_1_post_block_residual,"full operand grid, uniform113x113",544.1913489694688,3781465600.0,4521971200.0,0.8362427429878369,checkpoints/seedstudy_muon_seed_4/step_005000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,655,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed4_muon,4,muon,6000,layer_1_post_block_residual,"full operand grid, uniform113x113",377.84380537994633,1822978304.0,2535653376.0,0.7189382907200641,checkpoints/seedstudy_muon_seed_4/step_006000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,661,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed4_muon,4,muon,9000,layer_1_post_block_residual,"full operand grid, uniform113x113",572.5748092004591,4186213376.0,6281125376.0,0.6664750542944743,checkpoints/seedstudy_muon_seed_4/step_009000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,667,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed4_muon,4,muon,15000,layer_1_post_block_residual,"full operand grid, uniform113x113",2770.7911037446497,98031230976.0,108724969472.0,0.9016441342965476,checkpoints/seedstudy_muon_seed_4/step_015000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,673,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed4_muon,4,muon,16000,layer_1_post_block_residual,"full operand grid, uniform113x113",3387.391138893843,146516852736.0,160304218112.0,0.9139924978994179,checkpoints/seedstudy_muon_seed_4/step_016000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,679,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed4_muon,4,muon,25000,layer_1_post_block_residual,"full operand grid, uniform113x113",1581.4704383690498,31935891456.000004,51913175040.0,0.6151789296530764,checkpoints/seedstudy_muon_seed_4/step_025000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,685,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
