branch,step,checkpoint,alpha,accuracy,family_power_share_non_dc,native_family_share,baseline_accuracy
freeze,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_300000.pt,1.3000000715255737,0.9993734955787659,0.9427033416829285,0.9068512453165477,0.9888793230056763
freeze,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_300000.pt,1.350000023841858,0.9997650384902954,0.9466466900141428,0.9068512453165477,0.9888793230056763
freeze,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_300000.pt,1.399999976158142,0.9998433589935303,0.9502032004228506,0.9068512453165477,0.9888793230056763
freeze,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_300000.pt,1.4500000476837158,0.9998433589935303,0.9534210491494217,0.9068512453165477,0.9888793230056763
freeze,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_300000.pt,1.5,0.9998433589935303,0.9563412430044882,0.9068512453165477,0.9888793230056763
freeze,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_300000.pt,1.5500000715255737,0.9999216794967651,0.9589988851836923,0.9068512453165477,0.9888793230056763
freeze,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_300000.pt,1.600000023841858,1.0,0.9614241035590813,0.9068512453165477,0.9888793230056763
freeze,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_300000.pt,1.649999976158142,1.0,0.9636428988107609,0.9068512453165477,0.9888793230056763
freeze,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_300000.pt,1.7000000476837158,1.0,0.965677779994976,0.9068512453165477,0.9888793230056763
freeze,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_300000.pt,1.75,1.0,0.9675482924980955,0.9068512453165477,0.9888793230056763
freeze,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_300000.pt,1.8000000715255737,1.0,0.9692714974642617,0.9068512453165477,0.9888793230056763
freeze,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_300000.pt,1.850000023841858,1.0,0.9708623064471402,0.9068512453165477,0.9888793230056763
