Token embedding attribute: token_embedding
Position embedding attribute: position_embedding
Unembedding attribute: unembedding
token_embedding parameters: ['token_embedding.weight']
position_embedding parameters: ['position_embedding.weight']
unembedding parameters: ['unembedding.weight']
other_auxiliary parameters: []
Device: cpu
Source checkpoint: followup_studies/work/control_provenance/parity_source.pt
Starting step: 16000
Branch mode: control
Frozen group: None
Additional steps: 2000
Evaluation interval: 10
Output CSV: followup_studies/work/control_provenance/parity_runs/component/trajectory.csv
step= 17660 | train_acc=1.0000 | test_acc=0.8250 | token_delta=1.7272 | position_delta=0.3114 | unembedding_delta=1.3732
step= 17670 | train_acc=1.0000 | test_acc=0.8292 | token_delta=1.7190 | position_delta=0.3108 | unembedding_delta=1.3595
step= 17680 | train_acc=1.0000 | test_acc=0.8350 | token_delta=1.7110 | position_delta=0.3102 | unembedding_delta=1.3459
step= 17690 | train_acc=1.0000 | test_acc=0.8392 | token_delta=1.7034 | position_delta=0.3097 | unembedding_delta=1.3325
step= 17700 | train_acc=1.0000 | test_acc=0.8452 | token_delta=1.6961 | position_delta=0.3091 | unembedding_delta=1.3193
step= 17710 | train_acc=1.0000 | test_acc=0.8507 | token_delta=1.6892 | position_delta=0.3087 | unembedding_delta=1.3062
step= 17720 | train_acc=1.0000 | test_acc=0.8565 | token_delta=1.6825 | position_delta=0.3082 | unembedding_delta=1.2932
step= 17730 | train_acc=1.0000 | test_acc=0.8614 | token_delta=1.6762 | position_delta=0.3078 | unembedding_delta=1.2804
step= 17740 | train_acc=1.0000 | test_acc=0.8662 | token_delta=1.6702 | position_delta=0.3074 | unembedding_delta=1.2678
step= 17750 | train_acc=1.0000 | test_acc=0.8709 | token_delta=1.6645 | position_delta=0.3070 | unembedding_delta=1.2552
step= 17760 | train_acc=1.0000 | test_acc=0.8755 | token_delta=1.6591 | position_delta=0.3067 | unembedding_delta=1.2429
step= 17770 | train_acc=1.0000 | test_acc=0.8814 | token_delta=1.6540 | position_delta=0.3063 | unembedding_delta=1.2306
step= 17780 | train_acc=1.0000 | test_acc=0.8866 | token_delta=1.6492 | position_delta=0.3061 | unembedding_delta=1.2185
step= 17790 | train_acc=1.0000 | test_acc=0.8935 | token_delta=1.6446 | position_delta=0.3058 | unembedding_delta=1.2066
step= 17800 | train_acc=1.0000 | test_acc=0.9004 | token_delta=1.6403 | position_delta=0.3056 | unembedding_delta=1.1947
step= 17810 | train_acc=1.0000 | test_acc=0.9057 | token_delta=1.6363 | position_delta=0.3054 | unembedding_delta=1.1831
step= 17820 | train_acc=1.0000 | test_acc=0.9126 | token_delta=1.6326 | position_delta=0.3052 | unembedding_delta=1.1715
step= 17830 | train_acc=1.0000 | test_acc=0.9179 | token_delta=1.6291 | position_delta=0.3050 | unembedding_delta=1.1601
step= 17840 | train_acc=1.0000 | test_acc=0.9246 | token_delta=1.6259 | position_delta=0.3049 | unembedding_delta=1.1488
step= 17850 | train_acc=1.0000 | test_acc=0.9302 | token_delta=1.6229 | position_delta=0.3047 | unembedding_delta=1.1376
step= 17860 | train_acc=1.0000 | test_acc=0.9355 | token_delta=1.6202 | position_delta=0.3047 | unembedding_delta=1.1266
step= 17870 | train_acc=1.0000 | test_acc=0.9404 | token_delta=1.6177 | position_delta=0.3046 | unembedding_delta=1.1157
step= 17880 | train_acc=1.0000 | test_acc=0.9450 | token_delta=1.6155 | position_delta=0.3045 | unembedding_delta=1.1049
step= 17890 | train_acc=1.0000 | test_acc=0.9514 | token_delta=1.6134 | position_delta=0.3045 | unembedding_delta=1.0943
step= 17900 | train_acc=1.0000 | test_acc=0.9560 | token_delta=1.6116 | position_delta=0.3045 | unembedding_delta=1.0838
step= 17910 | train_acc=1.0000 | test_acc=0.9603 | token_delta=1.6100 | position_delta=0.3045 | unembedding_delta=1.0734
step= 17920 | train_acc=1.0000 | test_acc=0.9635 | token_delta=1.6086 | position_delta=0.3045 | unembedding_delta=1.0631
step= 17930 | train_acc=1.0000 | test_acc=0.9671 | token_delta=1.6074 | position_delta=0.3046 | unembedding_delta=1.0530
step= 17940 | train_acc=1.0000 | test_acc=0.9702 | token_delta=1.6064 | position_delta=0.3046 | unembedding_delta=1.0429
step= 17950 | train_acc=1.0000 | test_acc=0.9724 | token_delta=1.6056 | position_delta=0.3047 | unembedding_delta=1.0330
step= 17960 | train_acc=1.0000 | test_acc=0.9754 | token_delta=1.6049 | position_delta=0.3048 | unembedding_delta=1.0233
step= 17970 | train_acc=1.0000 | test_acc=0.9785 | token_delta=1.6045 | position_delta=0.3050 | unembedding_delta=1.0137
step= 17980 | train_acc=1.0000 | test_acc=0.9803 | token_delta=1.6041 | position_delta=0.3051 | unembedding_delta=1.0042
step= 17990 | train_acc=1.0000 | test_acc=0.9814 | token_delta=1.6040 | position_delta=0.3053 | unembedding_delta=0.9948
