seed,pair,endpoint,step,condition,split,n,correct,accuracy,uniform_tie_expected_accuracy,tied_maximum_rows,positive_margin_rows,minimum_margin,mean_margin
3,seed3_adjacent_event,0,16307,training_donors_only,full_grid,12769,12656,0.9911504424778761,0.9911504424778761,0,12656,-36.15882085405235,21.63337942865335
3,seed3_adjacent_event,0,16307,heldout_donors_only,training,3830,3796,0.9911227154046998,0.9911227154046998,0,3796,-36.49053276148766,16.118089826100796
3,seed3_adjacent_event,0,16307,heldout_donors_only,heldout,8939,8860,0.9911623224074281,0.9911623224074281,0,8860,-36.49053276148766,15.892168820294307
3,seed3_adjacent_event,0,16307,heldout_donors_only,full_grid,12769,12656,0.9911504424778761,0.9911504424778761,0,12656,-36.49053276148766,15.959932736986206
3,seed3_adjacent_event,0,16307,heldout_donors_leave_one_out,training,3830,3796,0.9911227154046998,0.9911227154046998,0,3796,-36.49053276148766,16.118089826100796
3,seed3_adjacent_event,0,16307,heldout_donors_leave_one_out,heldout,8939,8860,0.9911623224074281,0.9911623224074281,0,8860,-36.69759458599765,15.890405525650216
3,seed3_adjacent_event,0,16307,heldout_donors_leave_one_out,full_grid,12769,12656,0.9911504424778761,0.9911504424778761,0,12656,-36.69759458599765,15.958698334071057
3,seed3_adjacent_event,1,16308,raw,training,3830,2465,0.643603133159269,0.643603133159269,0,2465,-93.10355031279255,2.311697820984942
3,seed3_adjacent_event,1,16308,raw,heldout,8939,4791,0.5359659917216691,0.5359659917216691,0,4791,-102.33288779338477,-3.5804219897566703
3,seed3_adjacent_event,1,16308,raw,full_grid,12769,7256,0.5682512334560264,0.5682512334560264,0,7256,-102.33288779338477,-1.813109054120334
3,seed3_adjacent_event,1,16308,complete_family_with_dc,training,3830,2478,0.6469973890339425,0.6469973890339425,0,2478,-68.84383601628247,3.1828249824416694
3,seed3_adjacent_event,1,16308,complete_family_with_dc,heldout,8939,5997,0.6708804116791588,0.6708804116791588,0,5997,-68.84383601628247,3.92413269961129
3,seed3_adjacent_event,1,16308,complete_family_with_dc,full_grid,12769,8475,0.6637168141592921,0.6637168141592921,0,8475,-68.84383601628247,3.7017810231480084
3,seed3_adjacent_event,1,16308,training_donors_only,training,3830,2694,0.7033942558746736,0.7033942558746736,0,2694,-64.84849003943805,7.145223211345508
3,seed3_adjacent_event,1,16308,training_donors_only,heldout,8939,6459,0.722564045195212,0.722564045195212,0,6459,-64.84849003943805,8.086154097198698
3,seed3_adjacent_event,1,16308,training_donors_only,full_grid,12769,9153,0.7168141592920354,0.7168141592920354,0,9153,-64.84849003943805,7.803926413525919
