seed,frequency,heldout_correct,heldout_n,minimum_margin
4,37,8939,8939,2.73534751533272e-05
4,38,8939,8939,2.7353475153316792e-05
4,39,8939,8939,2.735347515332373e-05
4,40,8939,8939,2.735347515332373e-05
4,41,8939,8939,2.735347515332373e-05
4,42,8939,8939,2.735347515332026e-05
4,43,8939,8939,2.735347515333067e-05
4,44,8939,8939,2.735347515332373e-05
4,45,8939,8939,2.7353475153316792e-05
4,46,8939,8939,2.735347515332026e-05
4,47,8939,8939,2.73534751533272e-05
4,48,8939,8939,2.735347515332026e-05
4,49,8939,8939,2.735347515332026e-05
4,50,8939,8939,2.735347515332026e-05
4,51,8939,8939,2.735347515332373e-05
4,52,8939,8939,2.735347515332373e-05
4,53,8939,8939,2.735347515332373e-05
4,54,8939,8939,2.735347515332026e-05
4,55,8939,8939,2.7353475153316792e-05
4,56,8939,8939,2.735347515332373e-05
